Parcel,Code,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
IND019,JUME4,0,,0,,0,,0,,0,,2,,,,,,,,,,,,,
IND019,STPA4,0,,0,,0,,2,,0,,0,,,,,,,,,,,,,
IND019,ASFA,0,,0,,1,,0,,0,,0,,,,,,,,,,,,,
IND019,MALE3,0,,0,,0,,0,,0,,1,,,,,,,,,,,,,
IND019,ASLE8,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND019,ATTO,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND019,ATTR,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND019,CIIN,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND019,ERCA20,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND019,LASE,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND019,MEAL2,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND019,POFR2,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND019,SPGR,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND019,SYAS3,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
IND021,ERNA10,27,,26,,22,,36,,31,,9,,0,,,,,,,,,,,
IND021,DISP,4,,3,,5,,0,,16,,16,,9,,,,,,,,,,,
IND021,ELTR3,1,,0,,0,,0,,3,,7,,32,,,,,,,,,,,
IND021,GLLE3,0,,0,,1,,3,,9,,8,,16,,,,,,,,,,,
IND021,SAEX,0,,0,,0,,7,,0,,0,,10,,,,,,,,,,,
IND021,ATTO,9,,1,,0,,0,,0,,2,,1,,,,,,,,,,,
IND021,SPAI,0,,0,,5,,0,,0,,5,,2,,,,,,,,,,,
IND021,TARA,0,,0,,0,,0,,0,,3,,2,,,,,,,,,,,
IND021,CALI4,0,,4,,0,,0,,0,,0,,0,,,,,,,,,,,
IND021,CYDA,0,,0,,0,,0,,0,,4,,0,,,,,,,,,,,
IND021,MALE3,0,,0,,0,,0,,1,,0,,1,,,,,,,,,,,
IND021,ASFA,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,
IND021,MEAL2,1,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
IND021,APCA,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
IND024,DISP,5,,25,,30,,7,,14,,4,,7,,48,,37,,,,,,,
IND024,SPAI,37,,28,,15,,28,,16,,0,,28,,14,,0,,,,,,,
IND024,ATTO,12,,15,,14,,4,,0,,13,,3,,8,,0,,,,,,,
IND024,ERNA10,2,,0,,8,,4,,18,,6,,26,,3,,0,,,,,,,
IND024,SALA3,0,,0,,0,,17,,0,,0,,0,,0,,25,,,,,,,
