Parcel,Year,NDVI_SUR,mean.ndwi.gr.nir,mean.ndwi.gr.swir1,mean.ndwi.nir.swir1,mean.tc.bright,mean.tc.wet,mean.tc.green,sd.ndvi,n,PPT,sd.ppt,n.month.ppt
BIS113,2019,0.7361096428571429,-0.6927440714285714,-0.46438414285714286,0.3400066428571429,0.4218997857142857,-0.048095928571428574,0.17434292857142858,0.03320741459050545,14,197.702167,22.432190978309198,12
BIS113,2020,0.6477763571428572,-0.6324014285714286,-0.45712857142857144,0.25199792857142855,0.4399467142857143,-0.06311635714285714,0.14261664285714287,0.07854030176197846,14,57.2,6.649857597017101,12
BIS116,1984,0.41669150000000005,-0.4787465,-0.46604049999999997,0.017305499999999998,0.38967799999999997,-0.148199,0.07738300000000001,0.004086370088476965,2,129.462977,12.962191826340886,12
BIS116,1985,0.4068391666666667,-0.44627116666666666,-0.45669183333333335,-0.013552000000000002,0.39863366666666666,-0.16555816666666667,0.07032216666666667,0.06070677744837613,6,120.96608499999999,12.934690781193176,12
BIS116,1986,0.5853688571428571,-0.5779767142857143,-0.41593014285714286,0.21654185714285715,0.34508385714285716,-0.08269314285714285,0.12778371428571428,0.01946883985953427,7,193.150589,21.986038305253395,12
BIS116,1987,0.5668795714285714,-0.5622137142857143,-0.40703042857142857,0.20444257142857142,0.39359828571428573,-0.09920042857142856,0.14134685714285714,0.026593214603586005,7,64.358174,5.36786950869965,12
BIS116,1988,0.515624,-0.5268293333333334,-0.4081883333333333,0.1547485,0.3930745,-0.10771266666666666,0.11859316666666667,0.017593687549800337,6,158.732546,14.062270167653894,12
BIS116,1989,0.537205,-0.5511634,-0.4168682,0.179997,0.4006032,-0.10929,0.1367798,0.013193520834106425,5,70.90606100000001,7.652291845202058,12
BIS116,1990,0.554918,-0.56021275,-0.38511125,0.22873925,0.40716399999999997,-0.09263774999999999,0.1456855,0.049199157167577584,4,92.326407,7.588849394519545,12
BIS116,1991,0.5940574,-0.5893388,-0.3801618,0.2741024,0.3855748,-0.0738026,0.157718,0.0301121299445921,5,96.809183,21.76041209259581,12
BIS116,1992,0.5429252,-0.5495506,-0.362784,0.2373598,0.40045959999999997,-0.0824184,0.1444436,0.07565619581171125,5,120.379769,11.266725225091994,12
BIS116,1993,0.6229036666666666,-0.612914,-0.3873995,0.30042616666666666,0.3674773333333333,-0.06383749999999999,0.16046850000000001,0.03048718903845787,6,197.90807,22.166721343367502,12
BIS116,1994,0.6126195,-0.607046125,-0.376050875,0.3023115,0.390605,-0.06691037500000001,0.168177375,0.03749593005342617,8,80.517008,9.022242114772956,12
BIS116,1995,0.684745625,-0.66289125,-0.427391,0.335254875,0.370201,-0.059012,0.185828125,0.012067276458464027,8,196.346711,24.0406504310636,12
BIS116,1996,0.5869045714285714,-0.583915,-0.44118742857142856,0.19815442857142856,0.37421699999999997,-0.09605042857142856,0.13718628571428573,0.044615332872071166,7,115.97578299999999,15.550397459496047,12
BIS116,1997,0.538129375,-0.54800275,-0.48532975,0.091439,0.38924,-0.138704375,0.11766225000000001,0.01935883800333289,8,152.110435,13.517079901890748,12
BIS116,1998,0.5409981428571429,-0.5489962857142857,-0.4398934285714286,0.14749171428571428,0.37970185714285715,-0.11087371428571428,0.11781285714285715,0.04704500497547912,7,252.975142,32.476444055607665,12
BIS116,1999,0.6299668,-0.6212220666666667,-0.44073853333333335,0.254105,0.3795128,-0.1010882,0.12817533333333334,0.018134121067361217,15,71.84973,6.222806802992602,12
BIS116,2000,0.5647633076923076,-0.5787801538461539,-0.4518325384615385,0.17864646153846153,0.3983179230769231,-0.13376161538461537,0.09752815384615385,0.027012220325205318,13,67.23166499999999,9.384607752854885,12
BIS116,2001,0.5802408,-0.5818315333333334,-0.4602306666666667,0.17286273333333332,0.3913256666666667,-0.1286058,0.10759286666666666,0.02306257892034501,15,109.513904,11.777896484505947,12
BIS116,2002,0.5427810714285715,-0.5623225000000001,-0.4401849285714286,0.16813792857142856,0.4158988571428572,-0.140718,0.0947885,0.03570394974587607,14,40.397633,6.8389428662792815,12
BIS116,2003,0.6177908571428572,-0.6104663571428571,-0.4212247142857143,0.26146714285714284,0.3868904285714286,-0.0980365,0.13078242857142858,0.051420947943057585,14,102.171761,11.547370104872808,12
BIS116,2004,0.5831079285714286,-0.5873061428571429,-0.4451275,0.19904007142857144,0.38621371428571427,-0.12014585714285715,0.10745192857142857,0.0368794789310434,14,92.781722,12.376188576350158,12
BIS116,2005,0.6363464375,-0.6264955,-0.449332,0.25403575,0.391116,-0.10579125,0.13395125,0.04110223014220153,16,239.030858,22.387069814617526,12
BIS116,2006,0.6481953846153846,-0.6311376153846153,-0.4397898461538462,0.2708302307692308,0.38151369230769233,-0.09619361538461538,0.1349623076923077,0.0314802540982398,13,167.50624200000001,19.491375935533544,12
BIS116,2007,0.5519683076923078,-0.5644407692307692,-0.4358210769230769,0.17530723076923077,0.40856638461538464,-0.1293156923076923,0.10409784615384615,0.046421823546662154,13,63.616866,3.342184445213081,12
BIS116,2008,0.6176770625,-0.6168330625,-0.444733375,0.24378056250000002,0.3986695,-0.115078,0.130706125,0.039801814242517046,16,147.782772,25.70710473021647,12
BIS116,2009,0.6061076666666667,-0.608099,-0.45667875,0.21764466666666668,0.38866483333333335,-0.12139575,0.10744316666666666,0.03385505407236005,12,76.645451,7.613522334351922,12
BIS116,2010,0.6359235624999999,-0.63545925,-0.4700425625,0.24250675,0.4004439375,-0.1159988125,0.133648875,0.03299643986244324,16,99.93905000000001,11.298486465223334,12
BIS116,2011,0.6438617999999999,-0.6422682,-0.4624316,0.25983913333333336,0.3921655333333333,-0.10769906666666666,0.129935,0.025344449626806133,15,225.794428,41.38273147060078,12
BIS116,2012,0.618369875,-0.62419625,-0.4737645,0.219862875,0.415710125,-0.143824625,0.093139,0.04966571805419996,8,80.647038,9.472103260712121,12
BIS116,2013,0.5792781333333333,-0.5947465333333333,-0.46752033333333337,0.18506206666666666,0.4393302666666667,-0.09088433333333333,0.11055306666666667,0.05766449635962773,15,62.825286,6.609139036839387,12
BIS116,2014,0.5721961666666666,-0.5941059166666667,-0.45682991666666667,0.19431916666666665,0.43750958333333334,-0.08688216666666666,0.10916308333333334,0.04272913879912806,12,84.866462,7.364070364150545,12
BIS116,2015,0.5376787272727273,-0.5653678181818181,-0.4605828181818182,0.1483770909090909,0.4520437272727273,-0.10863754545454546,0.09505872727272728,0.028449221803384717,11,74.44774799999999,6.792047752217,12
BIS116,2016,0.6536123333333334,-0.6502806,-0.46192873333333334,0.2768215333333333,0.41735173333333336,-0.0615452,0.14076233333333332,0.03778785379999141,15,158.314835,9.77012261146088,12
BIS116,2017,0.6942575,-0.6726250833333334,-0.43772391666666666,0.34430258333333336,0.41782216666666666,-0.03062508333333333,0.1584715,0.09468107494060833,12,313.222784,44.78163507896262,12
BIS116,2018,0.6834540769230769,-0.6642554615384615,-0.4438814615384616,0.32006738461538464,0.40879292307692305,-0.05125907692307693,0.14047976923076924,0.04010080014675839,13,96.686384,9.61857573697835,12
BIS116,2019,0.6866242857142857,-0.6695875,-0.45217250000000003,0.3178564285714286,0.40481114285714287,-0.05192807142857143,0.145865,0.02608425874686927,14,196.063796,21.847890175093127,12
BIS116,2020,0.6044453571428572,-0.6113230714285715,-0.4611572857142857,0.21525978571428572,0.4265649285714286,-0.07272407142857143,0.116921,0.04530998174219475,14,58.234952,6.7523725571432,12
BIS117,1984,0.480525,-0.5183905,-0.4897975,0.0400355,0.418833,-0.1598755,0.106384,0.0236216091323178,2,128.569478,13.020525790720425,12
BIS117,1985,0.4789815,-0.50187516666666665,-0.470634,0.04165,0.424243,-0.16355783333333335,0.10638266666666667,0.05142862042384572,6,119.65589,12.966033602270334,12
